Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop Fast Track Version 18.1.1.9 - 2014-01-16	 	 
Decimal Symbol:	.	 	 
Date Format:	M/d/yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	1601	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 2.0000000000e+001	 	 
X-Axis delta:	 1.0000000000e+000	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 8.2000000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
InputRange:	-2.0000000000e+002	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1.0000000000e+000	 	 
ReducedSize:	True	 	 
Ref_Signal:	p	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	p_rad	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Transfunction (p_rad,p)	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	True	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	5/25/2022	 
Time:	 	17:58:18:124	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 2.0000000000e+001	 5.05565e-004	-6.09227e-006
2	 2.1000000000e+001	 4.49437e-004	 5.40840e-005
3	 2.2000000000e+001	 5.77495e-004	 7.45861e-005
4	 2.3000000000e+001	 8.32201e-004	 3.75796e-004
5	 2.4000000000e+001	 8.01020e-004	 1.59914e-004
6	 2.5000000000e+001	 4.59983e-004	 5.99188e-005
7	 2.6000000000e+001	 6.60960e-004	 2.55459e-006
8	 2.7000000000e+001	 4.97936e-004	-1.25037e-004
9	 2.8000000000e+001	 3.17653e-004	-2.33366e-004
10	 2.9000000000e+001	 5.77102e-004	-1.14852e-004
11	 3.0000000000e+001	 3.01870e-004	-7.29382e-005
12	 3.1000000000e+001	 5.44516e-004	-4.27961e-004
13	 3.2000000000e+001	 6.45323e-004	-3.23846e-004
14	 3.3000000000e+001	 6.75286e-004	-1.62974e-004
15	 3.4000000000e+001	 4.90814e-004	-1.70457e-004
16	 3.5000000000e+001	 6.18898e-004	-1.72695e-004
17	 3.6000000000e+001	 6.72690e-004	-2.49407e-004
18	 3.7000000000e+001	 5.67552e-004	-2.59817e-004
19	 3.8000000000e+001	 6.15888e-004	-2.98573e-004
20	 3.9000000000e+001	 6.60949e-004	-3.34102e-004
21	 4.0000000000e+001	 6.57909e-004	-3.59643e-004
22	 4.1000000000e+001	 6.37869e-004	-3.34570e-004
23	 4.2000000000e+001	 6.52877e-004	-2.98479e-004
24	 4.3000000000e+001	 6.31758e-004	-2.98234e-004
25	 4.4000000000e+001	 6.13252e-004	-2.99720e-004
26	 4.5000000000e+001	 6.36911e-004	-3.01701e-004
27	 4.6000000000e+001	 6.70012e-004	-3.06098e-004
28	 4.7000000000e+001	 6.91244e-004	-3.00594e-004
29	 4.8000000000e+001	 7.07243e-004	-3.12356e-004
30	 4.9000000000e+001	 6.24088e-004	-3.56800e-004
31	 5.0000000000e+001	 3.46079e-004	-5.01124e-004
32	 5.1000000000e+001	 7.00301e-004	-4.34468e-004
33	 5.2000000000e+001	 8.45556e-004	-4.51274e-004
34	 5.3000000000e+001	 8.51799e-004	-5.10962e-004
35	 5.4000000000e+001	 8.49357e-004	-5.74820e-004
36	 5.5000000000e+001	 8.52486e-004	-6.29329e-004
37	 5.6000000000e+001	 8.40521e-004	-6.88841e-004
38	 5.7000000000e+001	 8.21908e-004	-7.41478e-004
39	 5.8000000000e+001	 7.95590e-004	-7.94234e-004
40	 5.9000000000e+001	 7.70285e-004	-8.49451e-004
41	 6.0000000000e+001	 7.32441e-004	-9.01202e-004
42	 6.1000000000e+001	 6.85360e-004	-9.39630e-004
43	 6.2000000000e+001	 6.19023e-004	-9.67569e-004
44	 6.3000000000e+001	 5.86771e-004	-9.65386e-004
45	 6.4000000000e+001	 5.67916e-004	-9.70386e-004
46	 6.5000000000e+001	 5.39180e-004	-9.80856e-004
47	 6.6000000000e+001	 5.17299e-004	-9.98709e-004
48	 6.7000000000e+001	 5.02381e-004	-1.01897e-003
49	 6.8000000000e+001	 4.81054e-004	-1.03762e-003
50	 6.9000000000e+001	 4.58684e-004	-1.05717e-003
51	 7.0000000000e+001	 4.35461e-004	-1.07690e-003
52	 7.1000000000e+001	 4.18388e-004	-1.09087e-003
53	 7.2000000000e+001	 4.02109e-004	-1.11741e-003
54	 7.3000000000e+001	 3.84757e-004	-1.14732e-003
55	 7.4000000000e+001	 3.60309e-004	-1.17462e-003
56	 7.5000000000e+001	 3.25356e-004	-1.20688e-003
57	 7.6000000000e+001	 2.74606e-004	-1.23806e-003
58	 7.7000000000e+001	 2.36811e-004	-1.25607e-003
59	 7.8000000000e+001	 2.06842e-004	-1.27485e-003
60	 7.9000000000e+001	 1.59156e-004	-1.27994e-003
61	 8.0000000000e+001	 1.13256e-004	-1.28829e-003
62	 8.1000000000e+001	 7.16554e-005	-1.27758e-003
63	 8.2000000000e+001	 4.39550e-005	-1.27313e-003
64	 8.3000000000e+001	 7.82732e-006	-1.27534e-003
65	 8.4000000000e+001	-2.35469e-005	-1.27897e-003
66	 8.5000000000e+001	-4.74521e-005	-1.28428e-003
67	 8.6000000000e+001	-9.41943e-005	-1.26830e-003
68	 8.7000000000e+001	-1.17936e-004	-1.25207e-003
69	 8.8000000000e+001	-1.30584e-004	-1.23153e-003
70	 8.9000000000e+001	-1.77227e-004	-1.23093e-003
71	 9.0000000000e+001	-1.79570e-004	-1.24545e-003
72	 9.1000000000e+001	-1.59260e-004	-1.24857e-003
73	 9.2000000000e+001	-1.72992e-004	-1.23288e-003
74	 9.3000000000e+001	-1.89088e-004	-1.23210e-003
75	 9.4000000000e+001	-1.95321e-004	-1.24059e-003
76	 9.5000000000e+001	-1.90777e-004	-1.24162e-003
77	 9.6000000000e+001	-1.92860e-004	-1.26708e-003
78	 9.7000000000e+001	-1.95678e-004	-1.26618e-003
79	 9.8000000000e+001	-1.86674e-004	-1.28977e-003
80	 9.9000000000e+001	-1.79002e-004	-1.33178e-003
81	 1.0000000000e+002	-2.07363e-004	-1.36161e-003
82	 1.0100000000e+002	-2.11286e-004	-1.37169e-003
83	 1.0200000000e+002	-1.88072e-004	-1.40001e-003
84	 1.0300000000e+002	-1.94043e-004	-1.46288e-003
85	 1.0400000000e+002	-2.31619e-004	-1.51374e-003
86	 1.0500000000e+002	-2.15140e-004	-1.54309e-003
87	 1.0600000000e+002	-2.61346e-004	-1.62484e-003
88	 1.0700000000e+002	-2.88602e-004	-1.70289e-003
89	 1.0800000000e+002	-3.40471e-004	-1.76164e-003
90	 1.0900000000e+002	-3.95753e-004	-1.80432e-003
91	 1.1000000000e+002	-4.40556e-004	-1.87127e-003
92	 1.1100000000e+002	-4.87287e-004	-1.91500e-003
93	 1.1200000000e+002	-5.20347e-004	-2.01023e-003
94	 1.1300000000e+002	-5.48505e-004	-2.09054e-003
95	 1.1400000000e+002	-6.15209e-004	-2.15344e-003
96	 1.1500000000e+002	-6.67433e-004	-2.18946e-003
97	 1.1600000000e+002	-7.58629e-004	-2.26641e-003
98	 1.1700000000e+002	-8.24694e-004	-2.34513e-003
99	 1.1800000000e+002	-9.12154e-004	-2.42834e-003
100	 1.1900000000e+002	-9.88016e-004	-2.47575e-003
101	 1.2000000000e+002	-1.05619e-003	-2.53361e-003
102	 1.2100000000e+002	-1.11751e-003	-2.63823e-003
103	 1.2200000000e+002	-1.20425e-003	-2.76447e-003
104	 1.2300000000e+002	-1.28957e-003	-2.86680e-003
105	 1.2400000000e+002	-1.38099e-003	-3.01113e-003
106	 1.2500000000e+002	-1.52564e-003	-3.21134e-003
107	 1.2600000000e+002	-1.65625e-003	-3.34091e-003
108	 1.2700000000e+002	-1.83325e-003	-3.52604e-003
109	 1.2800000000e+002	-2.02576e-003	-3.71653e-003
110	 1.2900000000e+002	-2.19218e-003	-3.97663e-003
111	 1.3000000000e+002	-2.40392e-003	-4.24583e-003
112	 1.3100000000e+002	-2.71027e-003	-4.55876e-003
113	 1.3200000000e+002	-3.07156e-003	-4.86737e-003
114	 1.3300000000e+002	-3.45220e-003	-5.15874e-003
115	 1.3400000000e+002	-4.02849e-003	-5.71018e-003
116	 1.3500000000e+002	-4.53331e-003	-6.09615e-003
117	 1.3600000000e+002	-5.37788e-003	-6.65033e-003
118	 1.3700000000e+002	-6.36768e-003	-7.26953e-003
119	 1.3800000000e+002	-7.52626e-003	-7.84876e-003
120	 1.3900000000e+002	-9.28033e-003	-8.51728e-003
121	 1.4000000000e+002	-1.17465e-002	-9.35005e-003
122	 1.4100000000e+002	-1.48760e-002	-9.86569e-003
123	 1.4200000000e+002	-1.91499e-002	-9.97177e-003
124	 1.4300000000e+002	-2.60637e-002	-7.95178e-003
125	 1.4400000000e+002	-3.47239e-002	 2.62467e-004
126	 1.4500000000e+002	-3.68714e-002	 1.54106e-002
127	 1.4600000000e+002	-2.39278e-002	 3.15619e-002
